iter	Passed	Remaining
471	672	751
472	673	749
473	673	747
474	674	745
475	676	744
476	676	742
477	677	740
478	678	738
479	679	736
480	680	734
481	681	732
482	682	730
483	683	728
484	684	726
485	685	724
486	686	723
487	687	721
488	688	719
489	689	717
490	690	715
491	690	713
492	692	711
493	693	709
494	694	708
495	695	706
496	696	704
497	697	703
498	698	701
499	699	699
500	700	697
501	701	696
502	702	694
503	703	692
504	704	690
505	705	688
506	706	687
507	707	685
508	708	683
509	709	681
510	710	680
511	711	678
512	712	676
513	713	674
514	714	672
515	715	671
516	716	669
517	717	667
518	718	666
519	719	664
520	720	662
521	721	660
522	722	659
523	723	657
524	724	655
525	726	654
526	727	652
527	728	650
528	729	649
529	729	647
530	730	645
531	731	643
532	732	641
533	733	640
534	734	638
535	735	636
536	736	635
537	737	633
538	738	631
539	739	630
540	740	628
541	741	626
542	742	625
543	743	623
544	744	621
545	745	620
546	746	618
547	747	616
548	749	615
549	750	613
550	751	612
551	752	610
552	754	609
553	755	608
554	757	606
555	758	605
556	758	603
557	759	601
558	761	600
559	762	598
560	763	597
561	764	595
562	765	593
563	766	592
564	767	591
565	769	589
566	770	588
567	771	586
568	772	584
569	772	583
570	773	581
571	774	579
572	775	578
573	776	576
574	778	575
575	779	573
576	780	571
577	780	570
578	782	568
579	783	567
580	784	565
581	785	564
582	786	562
583	787	561
584	788	559
585	789	557
586	790	556
587	791	554
588	792	553
589	793	551
590	794	550
591	796	548
592	798	548
593	799	546
594	801	545
595	802	543
596	803	542
597	804	540
598	805	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	530
605	813	528
606	814	527
607	815	525
608	816	524
609	818	523
610	819	521
611	820	520
612	821	518
613	822	517
614	823	515
615	825	514
616	826	512
617	827	511
618	829	510
619	830	508
620	831	507
621	832	505
622	833	504
623	834	502
624	835	501
625	836	499
626	837	498
627	838	496
628	839	495
629	840	493
630	842	492
631	843	491
632	844	489
633	845	488
634	846	486
635	847	485
636	848	483
637	850	482
638	851	480
639	852	479
640	854	478
641	855	477
642	857	475
643	858	474
644	859	473
645	861	472
646	862	470
647	863	469
648	864	467
649	866	466
650	867	464
651	868	463
652	869	462
653	870	460
654	871	459
655	873	457
656	874	456
657	875	455
658	876	453
659	877	452
660	878	450
661	879	449
662	880	447
663	881	446
664	882	444
665	883	443
666	885	441
667	886	440
668	887	439
669	888	437
670	890	436
671	891	434
672	892	433
673	893	432
674	894	430
675	895	429
676	896	427
677	897	426
678	898	424
679	900	423
680	902	422
681	903	421
682	904	419
683	905	418
684	906	417
685	908	415
686	909	414
687	910	412
688	911	411
689	912	409
690	913	408
691	914	407
692	915	405
693	917	404
694	918	403
695	919	401
696	920	400
697	921	398
698	922	397
699	924	396
700	925	394
701	926	393
702	926	391
703	928	390
704	929	388
705	930	387
706	931	386
707	932	384
708	933	383
709	934	381
710	935	380
711	936	378
712	937	377
713	938	375
714	939	374
715	940	373
716	941	371
717	942	370
718	943	368
719	945	367
720	946	366
721	947	364
722	948	363
723	949	361
724	950	360
725	951	359
726	952	357
727	953	356
728	954	354
729	955	353
730	956	352
731	957	350
732	958	349
733	959	347
734	960	346
735	962	345
736	963	343
737	964	342
738	966	341
739	966	339
740	967	338
741	968	336
742	969	335
743	970	334
744	971	332
745	972	331
746	973	329
747	974	328
748	975	327
749	977	325
750	978	324
751	979	323
752	981	321
753	982	320
754	983	319
755	984	317
756	985	316
757	986	314
758	987	313
759	988	312
760	989	310
761	991	309
762	992	308
763	994	307
764	995	305
765	996	304
766	997	303
767	998	301
768	999	300
769	1000	298
770	1001	297
771	1002	296
772	1003	294
773	1004	293
774	1006	292
775	1007	290
776	1008	289
777	1010	288
778	1010	286
779	1011	285
780	1012	284
781	1013	282
782	1014	281
783	1015	279
784	1016	278
785	1017	277
786	1019	275
787	1021	274
788	1022	273
789	1024	272
790	1025	270
791	1026	269
792	1027	268
793	1028	266
794	1028	265
795	1030	263
796	1031	262
797	1032	261
798	1033	260
799	1034	258
800	1036	257
801	1037	256
802	1038	254
803	1039	253
804	1040	252
805	1041	250
806	1042	249
807	1043	247
808	1044	246
809	1045	245
810	1046	243
811	1047	242
812	1048	241
813	1049	239
814	1050	238
815	1052	237
816	1053	235
817	1054	234
818	1055	233
819	1056	231
820	1057	230
821	1058	229
822	1059	227
823	1060	226
824	1061	225
825	1062	223
826	1063	222
827	1064	221
828	1065	219
829	1067	218
830	1068	217
831	1069	215
832	1070	214
833	1071	213
834	1072	211
835	1073	210
836	1074	209
837	1075	207
838	1076	206
839	1077	205
840	1078	203
841	1078	202
842	1079	201
843	1081	199
844	1082	198
845	1083	197
846	1084	195
847	1085	194
848	1086	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1097	180
859	1098	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1104	170
866	1105	169
867	1106	168
868	1107	166
869	1108	165
870	1109	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1115	157
876	1116	156
877	1117	155
878	1118	154
879	1119	152
880	1120	151
881	1121	150
882	1123	148
883	1124	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
888	1130	141
889	1131	139
890	1132	138
891	1134	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1139	130
897	1141	129
898	1142	128
899	1143	127
900	1144	125
901	1145	124
902	1146	123
903	1147	121
904	1148	120
905	1149	119
906	1151	118
907	1152	116
908	1153	115
909	1154	114
910	1155	112
911	1157	111
912	1158	110
913	1159	109
914	1160	107
915	1161	106
916	1162	105
917	1163	103
918	1164	102
919	1165	101
920	1166	100
921	1167	98
922	1168	97
923	1169	96
924	1171	94
925	1172	93
