iter	RMSE
0	14.61821615
1	14.25288424
2	13.91884816
3	13.55099469
4	13.21456395
5	12.86735276
6	12.55101144
7	12.27990859
8	11.98190065
9	11.76586252
10	11.52686154
11	11.26029525
12	10.99919041
13	10.73604724
14	10.49363049
15	10.27614461
16	10.0478977
17	9.840621587
18	9.638001334
19	9.448436418
20	9.260796972
21	9.086655077
22	8.917706374
23	8.766567157
24	8.623730342
25	8.478790552
26	8.335081294
27	8.214506988
28	8.078763599
29	7.948439065
30	7.842022188
31	7.729718167
32	7.62578127
33	7.542341629
34	7.453577247
35	7.364768478
36	7.284436159
37	7.193964562
38	7.12134882
39	7.034832098
40	6.956426664
41	6.882239775
42	6.803450272
43	6.740025558
44	6.679861694
45	6.613619334
46	6.553111164
47	6.498506254
48	6.444391303
49	6.387740287
50	6.331698466
51	6.282412084
52	6.237190261
53	6.190834378
54	6.156935555
55	6.113025421
56	6.071000589
57	6.03315337
58	5.997595228
59	5.962496027
60	5.925251018
61	5.896901622
62	5.865060494
63	5.835976724
64	5.810913336
65	5.784841233
66	5.759453481
67	5.736223336
68	5.710831463
69	5.688879342
70	5.664644496
71	5.64638261
72	5.627664125
73	5.606452591
74	5.585121158
75	5.566499677
76	5.544592321
77	5.531898175
78	5.51386536
79	5.497207718
80	5.485652472
81	5.471227496
82	5.458918767
83	5.44374482
84	5.43007035
85	5.416609248
86	5.403418743
87	5.392241562
88	5.384008296
89	5.374051864
90	5.365599509
91	5.35296481
92	5.344662166
93	5.331812125
94	5.318940671
95	5.313952463
96	5.302523912
97	5.29294753
98	5.279977709
99	5.276553167
100	5.267141002
101	5.259900121
102	5.246181492
103	5.237698934
104	5.231810902
105	5.220302247
106	5.212330428
107	5.20208704
108	5.196813518
109	5.187133834
110	5.180201239
111	5.171515792
112	5.161204935
113	5.153944947
114	5.145862306
115	5.140362613
116	5.135210277
117	5.127378436
118	5.119414396
119	5.116634123
120	5.111215732
121	5.106058079
122	5.10120016
123	5.091525017
124	5.07880457
125	5.074713552
126	5.070124528
127	5.065817066
128	5.061491697
129	5.053799451
130	5.050199912
131	5.044364232
132	5.038905063
133	5.036012121
134	5.03139616
135	5.024772404
136	5.0153285
137	5.010885897
138	5.003876855
139	4.997677946
140	4.993508376
141	4.989745445
142	4.981874105
143	4.977859077
144	4.975294716
145	4.971824273
146	4.964478152
147	4.961220479
148	4.95825509
149	4.95445533
150	4.950170035
151	4.945774372
152	4.938208786
153	4.934174365
154	4.931130182
155	4.926676851
156	4.924260359
157	4.9187623
158	4.915866836
159	4.910671811
160	4.906004018
161	4.901464053
162	4.896228314
163	4.890690198
164	4.88652216
165	4.88100511
166	4.877120003
167	4.872976148
168	4.870512259
169	4.865871338
170	4.862959096
171	4.860643769
172	4.854573621
173	4.85212713
174	4.846769423
175	4.844300088
176	4.841006731
177	4.834137828
178	4.829418718
179	4.825581701
180	4.823828212
181	4.820941664
182	4.818541674
183	4.813675928
184	4.809962985
185	4.806116382
186	4.802832807
187	4.799245048
188	4.793113282
189	4.787786501
190	4.782652474
191	4.779641889
192	4.77601086
193	4.77360536
194	4.771179785
195	4.765673748
196	4.762030029
197	4.757600421
198	4.753382947
199	4.749765253
200	4.742882035
201	4.739151505
202	4.735953505
203	4.733421558
204	4.731009451
205	4.726391372
206	4.723252626
207	4.721142146
208	4.719032998
209	4.717888645
210	4.715731065
211	4.71270467
212	4.708526556
213	4.702060366
214	4.699324529
215	4.694762125
216	4.690244031
217	4.687550415
218	4.685105894
219	4.681127038
220	4.676521831
221	4.670689774
222	4.668492928
223	4.667230154
224	4.66247588
225	4.660208687
226	4.657751701
227	4.655572665
228	4.651899926
229	4.648037272
230	4.644233035
231	4.638968058
232	4.636401047
233	4.635423026
234	4.634088685
235	4.62974688
236	4.628496521
237	4.62680067
238	4.625224396
239	4.624013216
240	4.62285468
241	4.620577817
242	4.61745583
243	4.615138357
244	4.615011472
245	4.613298856
246	4.612501568
247	4.61071287
248	4.605198557
249	4.602842699
250	4.600652781
251	4.598706557
252	4.596167814
253	4.593628773
254	4.590358879
255	4.588272274
256	4.584010403
257	4.579306283
258	4.574978387
259	4.574061156
260	4.570502172
261	4.569936273
262	4.566639972
263	4.563728219
264	4.561822496
265	4.559265131
266	4.555343508
267	4.552673753
268	4.550400093
269	4.545319634
270	4.540211352
271	4.536450102
272	4.534512172
273	4.533666651
274	4.531318993
275	4.529109191
276	4.526988684
277	4.521153789
278	4.518149597
279	4.516884396
280	4.514917172
281	4.513152727
282	4.509953267
283	4.507592081
284	4.505316876
285	4.502708965
286	4.49945705
287	4.498820661
288	4.497991109
289	4.496282646
290	4.494260039
291	4.489392586
292	4.486494552
293	4.484910422
294	4.484093744
295	4.482214019
296	4.47623518
297	4.471608149
298	4.469759749
299	4.464922835
300	4.463312098
301	4.463220919
302	4.458008508
303	4.457973099
304	4.456359448
305	4.453236108
306	4.451462687
307	4.447843226
308	4.443935569
309	4.443029186
310	4.43802906
311	4.437792673
312	4.435947706
313	4.432877872
314	4.430886503
315	4.430016664
316	4.425946669
317	4.423614397
318	4.420750684
319	4.412773999
320	4.408858536
321	4.406857795
322	4.405290132
323	4.40202374
324	4.399413818
325	4.399111652
326	4.395236781
327	4.393117985
328	4.386799217
329	4.384411175
330	4.384054502
331	4.382011276
332	4.379442568
333	4.377055683
334	4.375858456
335	4.3683548
336	4.366421513
337	4.366126913
338	4.364636131
339	4.361598553
340	4.358270408
341	4.356133942
342	4.352708705
343	4.350506911
344	4.347905794
345	4.344980872
346	4.342328795
347	4.338390924
348	4.333708531
349	4.333367911
350	4.326013156
351	4.323338611
352	4.320652402
353	4.317727983
354	4.314886321
355	4.310474536
356	4.309913169
357	4.308375418
358	4.307759285
359	4.302809782
360	4.301702456
361	4.300216839
362	4.297696788
363	4.296229842
364	4.290212536
365	4.287293192
366	4.284505947
367	4.280030565
368	4.27958538
369	4.277599251
370	4.272554822
371	4.268786301
372	4.266289121
373	4.263816972
374	4.261794794
375	4.258650059
376	4.258056749
377	4.256459749
378	4.256230534
379	4.252063702
380	4.248818482
381	4.245020924
382	4.242729776
383	4.241018788
384	4.238193089
385	4.236379794
386	4.233211091
387	4.23032476
388	4.226003103
389	4.22246967
390	4.220455442
