iter	Passed	Remaining
465	742	850
466	743	848
467	745	847
468	747	845
469	748	843
470	749	841
471	750	839
472	751	836
473	752	834
474	753	833
475	754	831
476	756	829
477	757	826
478	758	824
479	760	823
480	761	821
481	763	820
482	764	818
483	765	816
484	767	814
485	768	812
486	769	810
487	770	808
488	771	806
489	773	804
490	775	803
491	777	802
492	778	800
493	779	798
494	780	796
495	782	794
496	783	792
497	784	790
498	785	788
499	786	786
500	788	785
501	789	783
502	791	781
503	792	779
504	793	777
505	794	775
506	796	774
507	797	772
508	798	770
509	799	768
510	800	766
511	801	764
512	803	763
513	805	761
514	807	760
515	808	758
516	809	756
517	811	754
518	812	753
519	813	751
520	814	749
521	816	747
522	817	745
523	819	744
524	821	743
525	822	741
526	823	739
527	825	737
528	826	735
529	827	733
530	828	731
531	829	729
532	830	727
533	831	725
534	832	723
535	834	722
536	835	720
537	837	718
538	838	717
539	839	715
540	841	713
541	842	711
542	843	709
543	844	707
544	845	705
545	846	703
546	847	701
547	848	700
548	850	698
549	851	696
550	852	694
551	854	693
552	855	691
553	856	689
554	857	687
555	858	685
556	859	683
557	861	682
558	862	680
559	865	680
560	867	678
561	868	677
562	870	675
563	871	673
564	872	671
565	873	669
566	874	667
567	875	665
568	876	663
569	878	662
570	880	661
571	881	659
572	882	657
573	883	655
574	884	654
575	886	652
576	887	650
577	888	648
578	889	646
579	890	645
580	892	643
581	893	641
582	895	640
583	896	638
584	897	636
585	898	634
586	899	633
587	901	631
588	902	629
589	902	627
590	903	625
591	904	623
592	906	622
593	908	620
594	909	619
595	910	617
596	911	615
597	913	613
598	914	611
599	915	610
600	916	608
601	917	606
602	918	605
603	920	603
604	921	601
605	923	600
606	924	598
607	926	597
608	927	595
609	928	593
610	929	591
611	931	590
612	932	588
613	933	586
614	934	585
615	935	583
616	937	581
617	938	580
618	940	578
619	942	577
620	943	575
621	944	573
622	945	572
623	947	570
624	948	569
625	949	567
626	950	565
627	953	564
628	955	563
629	957	562
630	958	560
631	960	559
632	961	557
633	962	555
634	964	554
635	966	553
636	968	552
637	970	550
638	971	549
639	973	547
640	974	545
641	975	544
642	977	542
643	978	540
644	979	539
645	980	537
646	981	535
647	983	534
648	984	532
649	985	530
650	986	529
651	988	527
652	989	525
653	990	523
654	991	522
655	992	520
656	993	518
657	994	517
658	996	515
659	998	514
660	999	512
661	1000	510
662	1001	509
663	1002	507
664	1003	505
665	1006	504
666	1007	502
667	1008	501
668	1009	499
669	1010	497
670	1013	496
671	1015	495
672	1016	494
673	1017	492
674	1019	490
675	1020	489
676	1021	487
677	1023	485
678	1024	484
679	1025	482
680	1027	481
681	1029	480
682	1031	478
683	1032	476
684	1033	475
685	1034	473
686	1036	472
687	1037	470
688	1038	468
689	1040	467
690	1041	465
691	1042	464
692	1044	462
693	1045	461
694	1046	459
695	1047	457
696	1049	456
697	1050	454
698	1051	452
699	1052	451
700	1053	449
701	1054	447
702	1056	446
703	1057	444
704	1059	443
705	1060	441
706	1061	439
707	1062	438
708	1063	436
709	1065	435
710	1066	433
711	1067	431
712	1068	430
713	1069	428
714	1070	426
715	1072	425
716	1073	423
717	1074	422
718	1075	420
719	1076	418
720	1077	417
721	1078	415
722	1079	413
723	1081	412
724	1082	410
725	1083	408
726	1084	407
727	1084	405
728	1086	403
729	1087	402
730	1088	400
731	1089	398
732	1090	397
733	1091	395
734	1092	393
735	1093	392
736	1094	390
737	1095	388
738	1096	387
739	1097	385
740	1098	383
741	1099	382
742	1100	380
743	1102	379
744	1104	377
745	1105	376
746	1106	374
747	1107	372
748	1108	371
749	1109	369
750	1110	368
751	1111	366
752	1112	364
753	1113	363
754	1114	361
755	1115	360
756	1116	358
757	1118	356
758	1119	355
759	1120	353
760	1121	352
761	1122	350
762	1123	348
763	1124	347
764	1125	345
765	1126	344
766	1127	342
767	1128	340
768	1129	339
769	1130	337
770	1131	336
771	1132	334
772	1133	333
773	1135	331
774	1136	329
775	1137	328
776	1138	326
777	1139	325
778	1140	323
779	1141	321
780	1142	320
781	1143	318
782	1144	317
783	1145	315
784	1146	313
785	1147	312
786	1149	311
787	1150	309
788	1151	307
789	1152	306
790	1153	304
791	1154	303
792	1155	301
793	1156	300
794	1157	298
795	1158	296
796	1159	295
797	1160	293
798	1161	292
799	1162	290
800	1164	289
801	1165	287
802	1166	286
803	1167	284
804	1168	282
805	1169	281
806	1170	279
807	1171	278
808	1172	276
809	1173	275
810	1174	273
811	1175	272
812	1176	270
813	1178	269
814	1179	267
815	1180	266
816	1181	264
817	1182	263
818	1183	261
819	1184	260
820	1185	258
821	1186	257
822	1187	255
823	1188	253
824	1189	252
825	1190	250
826	1192	249
827	1193	247
828	1194	246
829	1195	244
830	1196	243
831	1197	241
832	1198	240
833	1199	238
834	1200	237
835	1201	235
836	1203	234
837	1204	232
838	1204	231
839	1206	229
840	1207	228
841	1208	226
842	1209	225
843	1210	223
844	1211	222
845	1212	220
846	1214	219
847	1215	217
848	1216	216
849	1217	214
850	1218	213
851	1219	211
852	1220	210
853	1221	208
854	1223	207
855	1224	205
856	1225	204
857	1226	202
858	1227	201
859	1228	199
860	1229	198
861	1230	196
862	1231	195
863	1232	193
864	1233	192
865	1234	190
866	1235	189
867	1237	188
868	1238	186
869	1239	185
870	1240	183
871	1241	182
872	1242	180
873	1244	179
874	1245	177
875	1246	176
876	1247	174
877	1248	173
878	1249	171
879	1250	170
880	1252	169
881	1253	167
882	1254	166
883	1255	164
884	1256	163
885	1257	161
886	1258	160
887	1260	158
888	1261	157
889	1262	156
890	1264	154
891	1265	153
892	1266	151
893	1268	150
894	1269	148
895	1270	147
896	1271	146
897	1272	144
898	1274	143
899	1275	141
900	1275	140
901	1277	138
902	1278	137
903	1279	135
904	1281	134
905	1282	133
906	1284	131
907	1285	130
908	1286	128
909	1288	127
910	1289	126
911	1291	124
912	1292	123
913	1293	121
914	1296	120
915	1297	119
916	1299	117
917	1300	116
918	1301	114
919	1302	113
920	1304	111
921	1305	110
922	1306	109
923	1308	107
924	1309	106
925	1310	104
926	1312	103
927	1314	101
928	1315	100
929	1316	99
930	1317	97
931	1318	96
932	1319	94
933	1320	93
934	1322	91
935	1323	90
936	1324	89
937	1326	87
938	1328	86
939	1329	84
940	1330	83
941	1331	82
942	1333	80
943	1334	79
944	1336	77
945	1337	76
946	1338	74
947	1339	73
948	1341	72
949	1344	70
950	1345	69
951	1346	67
952	1348	66
953	1349	65
954	1350	63
955	1352	62
956	1353	60
957	1355	59
958	1357	58
959	1359	56
960	1360	55
961	1361	53
962	1362	52
963	1364	50
964	1365	49
965	1366	48
966	1367	46
967	1369	45
968	1371	43
969	1372	42
970	1373	41
971	1375	39
972	1376	38
973	1377	36
974	1378	35
975	1379	33
976	1380	32
977	1382	31
978	1383	29
979	1384	28
980	1386	26
981	1387	25
982	1389	24
983	1390	22
984	1391	21
985	1393	19
986	1395	18
987	1396	16
988	1397	15
989	1398	14
990	1401	12
991	1402	11
992	1404	9
993	1405	8
994	1406	7
995	1408	5
996	1410	4
997	1411	2
998	1412	1
999	1413	0
